accession_id,assembly,level,biosample,strain,taxonomy,taxid,coverage,platform,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count
GCA_003439755.1,Scaffold,QSVI00000000,SAMN09736762,OM02-3AC,Bacillus cereus,1396,100x,Illumina Hiseq,5102772,11,0,0,19,3174339,1,296269,199719,30,801829,3,510,0,19,19
GCA_003439135.1,Contig,QSUV00000000,SAMN09736785,OM04-20,Bacillus cereus,1396,100x,IonProton,5512240,0,0,0,,,,,,169,133079,13,0,0,169,169
GCA_003474315.1,Scaffold,QROJ00000000,SAMN09734679,AF39-10,Bacillus licheniformis,1402,100x,Illumina Hiseq,4566820,7,0,0,18,525875,3,298129,128718,25,430273,3,213,0,18,18
GCA_003473165.1,Scaffold,QRLM00000000,SAMN09734790,AM12-57B,Bacillus sonorensis,119858,100x,Illumina Hiseq,4783145,17,0,0,58,487357,4,259976,108037,75,282690,5,170,0,58,58
GCA_003475425.1,Contig,QRQJ00000000,SAMN09734582,AF31-29AC,Bacteroides caccae,47678,100x,IonProton,5831814,0,0,0,,,,,,220,61380,29,0,0,220,220
GCA_003472875.1,Scaffold,QRNA00000000,SAMN09734727,AF46-5GN,Bacteroides caccae,47678,100x,IonProton,5179711,1,0,0,254,41846,40,22225,13250,255,41846,40,109,0,254,254
GCA_003470705.1,Scaffold,QRKD00000000,SAMN09734837,AM16-49B,Bacteroides caccae,47678,100x,Illumina Hiseq,5491859,33,0,0,115,176691,8,61031,30513,148,153834,11,842,0,115,115
GCA_003470465.1,Scaffold,QRIK00000000,SAMN09734901,AM22-13LB,Bacteroides caccae,47678,100x,Illumina Hiseq,4797049,7,0,0,39,471607,5,264702,114230,46,388078,5,70,0,39,39
GCA_003508775.1,Scaffold,QUSN00000000,SAMN09736340,AM26-6LB,Bacteroides caccae,47678,100x,Illumina Hiseq,4671614,5,0,0,39,258425,6,134040,81761,44,257953,6,163,0,39,39
GCA_003438425.1,Scaffold,QSUJ00000000,SAMN09736801,OM05-21BH,Bacteroides caccae,47678,100x,Illumina Hiseq,5176306,30,0,0,134,104209,17,53694,25377,164,94906,18,381,0,134,134
GCA_003459065.1,Scaffold,QRUO00000000,SAMN09734473,AF24-29LB,Bacteroides caccae,47678,100x,Illumina Hiseq,5403685,30,0,0,84,219457,9,115664,48723,114,186525,10,479,0,84,84
GCA_003463775.1,Scaffold,QSDW00000000,SAMN09736635,AM54-1GN,Bacteroides caccae,47678,100x,IonProton,5753370,2,0,0,185,85476,23,54698,22611,187,85476,23,1330,0,185,185
GCA_003463165.1,Scaffold,QSCS00000000,SAMN09736683,OF02-6LB,Bacteroides caccae,47678,100x,Illumina Hiseq,5358345,21,0,0,100,110772,16,74657,27100,121,99557,18,302,0,100,100
GCA_003463115.1,Scaffold,QSCQ00000000,SAMN09736685,OF02-8,Bacteroides caccae,47678,100x,Illumina Hiseq,5342137,12,0,0,96,115032,15,75620,30178,108,101002,17,120,0,96,96
GCA_003466805.1,Contig,QSFC00000000,SAMN09736580,AM44-18,Bacteroides caccae,47678,100x,IonProton,5464039,0,0,0,,,,,,104,158274,10,0,0,104,104
GCA_003468785.1,Scaffold,QSJD00000000,SAMN09736428,AM31-16AC,Bacteroides caccae,47678,100x,Illumina Hiseq,5342761,48,0,0,104,109033,15,62386,35412,152,105060,16,1020,0,104,104
GCA_003459465.1,Scaffold,QRVJ00000000,SAMN09734444,AF22-3AC,Bacteroides cellulosilyticus,246787,100x,Illumina Hiseq,7165657,17,0,0,76,218742,10,96595,54615,93,218006,11,178,0,76,76
GCA_003460035.1,Scaffold,QRXS00000000,SAMN09734335,AF17-25,Bacteroides cellulosilyticus,246787,100x,Illumina Hiseq,6874143,17,0,0,44,346538,6,248985,135757,61,305853,7,177,0,44,44
GCA_003457665.1,Scaffold,QRSV00000000,SAMN09734556,AF29-17,Bacteroides cellulosilyticus,246787,100x,Illumina Hiseq,6902937,21,0,0,30,501030,5,397393,212916,51,359770,7,283,0,30,30
GCA_003459675.1,Scaffold,QRWP00000000,SAMN09734385,AF19-1AC,Bacteroides clarus,626929,100x,Illumina Hiseq,4045484,10,0,0,38,222474,5,155210,60557,48,210716,6,140,0,38,38
GCA_003464625.1,Scaffold,QRZG00000000,SAMN09734256,AF14-27,Bacteroides clarus,626929,100x,Illumina Hiseq,4347396,20,0,0,104,118805,13,58463,32504,124,113306,13,271,0,104,104
GCA_003464535.1,Scaffold,QRZB00000000,SAMN09734263,AF14-44,Bacteroides clarus,626929,100x,Illumina Hiseq,4415818,31,0,0,114,121027,11,73936,34181,145,115550,13,547,0,114,114
GCA_003470085.1,Scaffold,QSLA00000000,SAMN09736335,AM26-26AC,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4164336,52,0,0,67,178679,8,92927,49925,119,144662,9,1273,0,67,67
GCA_003467605.1,Scaffold,QSHG00000000,SAMN09736500,AM38-13,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4037070,6,0,0,34,326619,6,192956,87285,40,326619,6,75,0,34,34
GCA_003467285.1,Scaffold,QSGA00000000,SAMN09736544,AM42-16,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4464020,13,0,0,80,219942,8,81884,42728,93,200598,9,130,0,80,80
GCA_003460345.1,Scaffold,QRXL00000000,SAMN09734348,AF18-1,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4303509,25,0,0,52,199676,8,126879,71767,77,154491,9,264,0,52,52
GCA_003471525.1,Scaffold,QRJK00000000,SAMN09734865,AM18-17,Bacteroides eggerthii,28111,100x,Illumina Hiseq,3989279,3,0,0,16,584353,3,252632,141553,19,584353,3,49,0,16,16
GCA_003472445.1,Scaffold,QRLY00000000,SAMN09734777,AM10-54,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4137871,18,0,0,45,242326,7,127667,86840,63,214470,8,180,0,45,45
GCA_003472985.1,Scaffold,QRLA00000000,SAMN09734804,AM14-12,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4130340,19,0,0,23,509913,4,226343,136892,42,253683,6,681,0,23,23
GCA_003475335.1,Scaffold,QRQD00000000,SAMN09734598,AF33-15AC,Bacteroides eggerthii,28111,100x,Illumina Hiseq,4234350,22,0,0,82,136708,10,74411,41920,104,130804,10,220,0,82,82
GCA_003460025.1,Scaffold,QRXP00000000,SAMN09734340,AF17-5AC,Bacteroides faecis,674529,100x,Illumina Hiseq,5852887,25,0,0,103,118605,17,73298,35450,128,108267,18,294,0,103,103
GCA_003439395.1,Scaffold,QSVL00000000,SAMN09736755,OM02-29,Bacteroides faecis,674529,100x,Illumina Hiseq,6146539,30,0,0,123,173333,11,80097,34417,153,135063,12,578,0,123,123
GCA_003439675.1,Scaffold,QSWE00000000,SAMN09736712,OF05-11AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5398873,15,0,0,30,386436,6,208997,124354,45,373596,6,150,0,30,30
GCA_003439635.1,Scaffold,QSWB00000000,SAMN09736715,OF05-13AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5340087,11,0,0,33,373362,5,196943,98095,44,317390,6,117,0,33,33
GCA_003439505.1,Scaffold,QSVT00000000,SAMN09736743,OM02-11,Bacteroides fragilis,817,100x,Illumina Hiseq,4987072,33,0,0,61,327430,5,132025,70141,94,253250,5,2389,0,61,61
GCA_003439045.1,Scaffold,QSUQ00000000,SAMN09736794,OM05-11,Bacteroides fragilis,817,100x,IonProton,5145408,1,0,0,184,66435,24,40967,19397,185,66435,24,311,0,184,184
GCA_003439285.1,Scaffold,QSVD00000000,SAMN09736767,OM02-9,Bacteroides fragilis,817,100x,Illumina Hiseq,4990390,16,0,0,40,494060,4,227205,130001,56,494060,4,160,0,40,40
GCA_003439065.1,Scaffold,QSUS00000000,SAMN09736791,OM04-9BH,Bacteroides fragilis,817,100x,Illumina Hiseq,5459886,19,0,0,43,259184,6,179555,91453,62,220371,7,190,0,43,43
GCA_003438895.1,Scaffold,QSUD00000000,SAMN09736813,OM06-1,Bacteroides fragilis,817,100x,Illumina Hiseq,5081261,10,0,0,21,455129,3,338472,158151,31,278793,5,100,0,21,21
GCA_003438775.1,Scaffold,QSTV00000000,SAMN09736823,OM06-30AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5079420,9,0,0,24,356573,5,238078,158212,33,356573,5,90,0,24,24
GCA_003437815.1,Scaffold,QSSJ00000000,SAMN09736883,TF05-31,Bacteroides fragilis,817,100x,Illumina Hiseq,5062331,18,0,0,43,336234,6,185926,78278,61,309275,6,204,0,43,43
GCA_003436935.1,Scaffold,QSRG00000000,SAMN09736920,TF09-1,Bacteroides fragilis,817,100x,Illumina Hiseq,5253326,13,0,0,28,469732,4,210545,124989,41,310585,5,327,0,28,28
GCA_003436285.1,Scaffold,QSOR00000000,SAMN09737008,TM08-15,Bacteroides fragilis,817,100x,Illumina Hiseq,5195045,15,0,0,33,316143,6,201865,112249,48,290345,6,150,0,33,33
GCA_003458955.1,Scaffold,QRTT00000000,SAMN09734517,AF26-6,Bacteroides fragilis,817,100x,Illumina Hiseq,5224118,29,0,0,40,495177,4,285716,83695,69,341522,5,473,0,40,40
GCA_003458215.1,Scaffold,QRTQ00000000,SAMN09734520,AF27-10,Bacteroides fragilis,817,100x,Illumina Hiseq,5420590,54,0,0,89,212576,8,109720,53319,143,180029,9,649,0,89,89
GCA_003463555.1,Contig,QSDH00000000,SAMN09736660,CF01-8,Bacteroides fragilis,817,100x,IonProton,5044825,0,0,0,,,,,,139,96938,17,0,0,139,139
GCA_003463545.1,Scaffold,QSDG00000000,SAMN09736661,OF01-1,Bacteroides fragilis,817,100x,Illumina Hiseq,5223488,21,0,0,60,198902,9,118705,64062,81,163345,11,210,0,60,60
GCA_003462955.1,Scaffold,QSCG00000000,SAMN09736701,OF03-7,Bacteroides fragilis,817,100x,IonProton,5346235,1,0,0,274,54143,29,27227,10293,275,54143,29,437,0,274,274
GCA_003468145.1,Scaffold,QSGL00000000,SAMN09736525,AM40-4AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5165672,31,0,0,70,236153,8,126246,60809,101,189480,9,322,0,70,70
GCA_003469705.1,Scaffold,QSLE00000000,SAMN09736329,AM26-13LB,Bacteroides fragilis,817,100x,Illumina Hiseq,5112303,10,0,0,25,566397,4,192693,144478,35,518766,4,100,0,25,25
GCA_003469305.1,Scaffold,QSJF00000000,SAMN09736425,AM31-13AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5065519,31,0,0,53,236117,8,144223,60441,84,203398,10,548,0,53,53
GCA_003464635.1,Scaffold,QRZH00000000,SAMN09734255,AF14-26,Bacteroides fragilis,817,100x,Illumina Hiseq,5323546,13,0,0,56,224389,8,132240,67603,69,214266,8,225,0,56,56
GCA_003464385.1,Scaffold,QRYS00000000,SAMN09734276,AF15-10LB,Bacteroides fragilis,817,100x,Illumina Hiseq,5170789,21,0,0,45,422021,4,155678,110600,66,422021,4,322,0,45,45
GCA_003465265.1,Scaffold,QRZO00000000,SAMN09734247,AF14-14AC,Bacteroides fragilis,817,100x,Illumina Hiseq,5320718,35,0,0,94,111419,16,78062,34355,129,103107,17,373,0,94,94
GCA_003466635.1,Scaffold,QSER00000000,SAMN09736602,AM47-7,Bacteroides fragilis,817,100x,IonProton,5060698,1,0,0,87,139484,11,74471,35871,88,139484,11,534,0,87,87
GCA_003475385.1,Scaffold,QRQH00000000,SAMN09734586,AF32-10,Bacteroides fragilis,817,100x,Illumina Hiseq,5306467,14,0,0,42,374893,6,184261,117631,56,250462,7,226,0,42,42
GCA_003475745.1,Contig,QRPZ00000000,SAMN09734604,AF33-30,Bacteroides fragilis,817,100x,IonProton,5040582,0,0,0,,,,,,249,48935,28,0,0,249,249
GCA_003473955.1,Scaffold,QRNC00000000,SAMN09734725,AF46-2GN,Bacteroides fragilis,817,100x,IonProton,5472193,1,0,0,237,52143,30,30637,14388,238,52143,30,134,0,237,237
GCA_003472195.1,Scaffold,QRLH00000000,SAMN09734795,AM13-18,Bacteroides fragilis,817,100x,Illumina Hiseq,5491309,24,0,0,46,507211,5,146638,90725,70,231384,7,452,0,46,46
GCA_003472025.1,Scaffold,QRKP00000000,SAMN09734817,AM15-16,Bacteroides fragilis,817,100x,Illumina Hiseq,5292183,10,0,0,40,377111,5,215195,84758,50,309911,6,100,0,40,40
GCA_003471925.1,Scaffold,QRKL00000000,SAMN09734823,AM16-16A,Bacteroides fragilis,817,100x,Illumina Hiseq,5295367,22,0,0,41,343623,6,185972,118309,63,217478,7,220,0,41,41
GCA_003471745.1,Scaffold,QRJX00000000,SAMN09734845,AM17-19,Bacteroides fragilis,817,100x,Illumina Hiseq,5355248,17,0,0,59,172725,11,92628,56774,76,141672,13,170,0,59,59
GCA_003471465.1,Scaffold,QRJE00000000,SAMN09734875,AM18-6,Bacteroides fragilis,817,100x,Illumina Hiseq,5646286,50,0,0,106,116958,18,78843,30036,156,96350,19,887,0,106,106
GCA_003472935.1,Scaffold,QRKQ00000000,SAMN09734816,AM15-15,Bacteroides intestinalis,329854,100x,Illumina Hiseq,5784588,15,0,0,46,264055,9,203276,112393,61,212761,10,155,0,46,46
GCA_003475245.1,Scaffold,QRPE00000000,SAMN09734642,AF36-16BH,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6179886,10,0,0,81,157473,12,90544,45975,91,133435,14,100,0,81,81
GCA_003475505.1,Scaffold,QRQM00000000,SAMN09734579,AF31-23,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6031112,29,0,0,94,194616,12,122325,53059,123,154652,14,514,0,94,94
GCA_003467005.1,Scaffold,QSFN00000000,SAMN09736566,AM43-4,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6518403,27,0,0,65,398818,6,152495,86361,92,283659,7,441,0,65,65
GCA_003464595.1,Scaffold,QRZF00000000,SAMN09734257,AF14-32,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6605530,20,0,0,81,283341,7,138134,75863,101,238088,8,484,0,81,81
GCA_003469595.1,Scaffold,QSKS00000000,SAMN09736349,AM27-2,Bacteroides intestinalis,329854,100x,Illumina Hiseq,5782576,12,0,0,42,462198,4,155974,76219,54,382849,5,120,0,42,42
GCA_003470025.1,Scaffold,QSKV00000000,SAMN09736346,AM27-17,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6376662,39,0,0,44,366418,7,179462,143499,83,274660,8,1067,0,44,44
GCA_003463015.1,Scaffold,QSCJ00000000,SAMN09736695,OF03-26,Bacteroides intestinalis,329854,100x,Illumina Hiseq,5883199,12,0,0,40,360309,7,179788,137010,52,320782,7,120,0,40,40
GCA_003459765.1,Scaffold,QRWT00000000,SAMN09734374,AF19-10AC,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6026957,19,0,0,84,158163,11,85515,41815,103,134286,12,217,0,84,84
GCA_003436375.1,Scaffold,QSPF00000000,SAMN09736991,TM06-30,Bacteroides intestinalis,329854,100x,Illumina Hiseq,5700304,23,0,0,111,139984,13,65692,38360,134,129192,16,271,0,111,111
GCA_003436685.1,Scaffold,QSQI00000000,SAMN09736961,TF12-32,Bacteroides intestinalis,329854,100x,Illumina Hiseq,6089810,16,0,0,47,293315,8,190147,110004,63,264256,9,193,0,47,47
GCA_003467365.1,Scaffold,QSGO00000000,SAMN09736522,AM40-30BH,Bacteroides nordii,291645,100x,Illumina Hiseq,5489753,30,0,0,68,354274,6,85484,48093,98,195174,8,548,0,68,68
GCA_003438445.1,Scaffold,QSUL00000000,SAMN09736799,OM05-15BH,Bacteroides oleiciplenus,626931,100x,Illumina Hiseq,6457077,9,0,0,53,368042,7,180830,78688,62,368042,7,90,0,53,53
GCA_003439865.1,Scaffold,QSWC00000000,SAMN09736714,OF05-12AC,Bacteroides ovatus,28116,100x,Illumina Hiseq,6715460,16,0,0,80,183838,12,109422,53924,96,182242,13,160,0,80,80
GCA_003468155.1,Scaffold,QSGM00000000,SAMN09736524,AM40-4,Bacteroides ovatus,28116,100x,Illumina Hiseq,6740416,48,0,0,149,163605,14,82961,40284,197,142980,16,669,0,149,149
GCA_003468975.1,Scaffold,QSJT00000000,SAMN09736408,AM30-13,Bacteroides ovatus,28116,100x,Illumina Hiseq,6782617,40,0,0,68,212068,12,113795,69801,108,137285,16,604,0,68,68
GCA_003468695.1,Scaffold,QSIX00000000,SAMN09736437,AM32-14LB,Bacteroides ovatus,28116,100x,Illumina Hiseq,6424635,55,0,0,93,166107,14,92178,60993,148,110583,21,46854,0,93,93
GCA_003465275.1,Scaffold,QRZQ00000000,SAMN09734245,AF14-13AC,Bacteroides ovatus,28116,100x,Illumina Hiseq,6711558,16,0,0,43,424403,6,199035,101822,59,312740,8,237,0,43,43
GCA_003465715.1,Scaffold,QSBL00000000,SAMN09734177,AF04-17,Bacteroides ovatus,28116,100x,Illumina Hiseq,6663758,19,0,0,104,137940,16,83695,46730,123,124441,18,302,0,104,104
GCA_003466305.1,Scaffold,QSOU00000000,SAMN09737003,TM07-20,Bacteroides ovatus,28116,100x,Illumina Hiseq,6594212,32,0,0,66,224965,9,156617,77456,98,181046,11,320,0,66,66
GCA_003465985.1,Scaffold,QSBI00000000,SAMN09734182,AF04-46,Bacteroides ovatus,28116,100x,Illumina Hiseq,6667382,16,0,0,97,140520,15,92341,49526,113,126303,16,199,0,97,97
GCA_003458905.1,Scaffold,QRTO00000000,SAMN09734527,AF27-16BH,Bacteroides ovatus,28116,100x,Illumina Hiseq,6998555,48,0,0,79,258841,9,144933,72453,127,223112,11,660,0,79,79
GCA_003459105.1,Scaffold,QRUQ00000000,SAMN09734471,AF24-28LB,Bacteroides ovatus,28116,100x,Illumina Hiseq,6935191,55,0,0,129,169973,13,93415,45088,184,129970,17,726,0,129,129
GCA_003459425.1,Scaffold,QRVZ00000000,SAMN09734417,AF20-9LB,Bacteroides ovatus,28116,100x,Illumina Hiseq,6853285,70,0,0,98,258152,9,114272,51409,168,192246,11,1467,0,98,98
GCA_003458305.1,Scaffold,QRTX00000000,SAMN09734511,AF26-20AA,Bacteroides ovatus,28116,100x,Illumina Hiseq,6566436,32,0,0,77,245640,10,153243,69945,109,184208,12,551,0,77,77
GCA_003457725.1,Scaffold,QRSY00000000,SAMN09734552,AF29-12,Bacteroides ovatus,28116,100x,Illumina Hiseq,6684422,48,0,0,100,235620,10,130511,67196,148,166525,14,1004,0,100,100
GCA_003463495.1,Scaffold,QSDC00000000,SAMN09736667,OF01-19AC,Bacteroides ovatus,28116,100x,Illumina Hiseq,6682462,25,0,0,91,169195,11,93723,59686,116,165986,11,329,0,91,91
GCA_003463715.1,Scaffold,QSDT00000000,SAMN09736640,AM54-35XD,Bacteroides ovatus,28116,100x,IonProton,6896081,1,0,0,172,130827,16,65499,30363,173,130827,16,100,0,172,172
GCA_003463955.1,Scaffold,QSEG00000000,SAMN09736619,AM50-10BH,Bacteroides ovatus,28116,100x,IonProton,6278096,1,0,0,160,109270,20,63814,32671,161,109270,20,203,0,160,160
GCA_003474465.1,Contig,QRNH00000000,SAMN09734718,AF45-17BH,Bacteroides ovatus,28116,100x,IonProton,6718086,0,0,0,,,,,,223,70920,33,0,0,223,223
GCA_003472925.1,Contig,QRNR00000000,SAMN09734702,AF42-23,Bacteroides ovatus,28116,100x,IonProton,6578801,0,0,0,,,,,,129,104880,21,0,0,129,129
GCA_003472965.1,Scaffold,QRKV00000000,SAMN09734810,AM14-35,Bacteroides ovatus,28116,100x,Illumina Hiseq,6742335,43,0,0,87,257773,9,122415,63537,130,180574,12,870,0,87,87
GCA_003472085.1,Scaffold,QRKT00000000,SAMN09734812,AM14-40,Bacteroides ovatus,28116,100x,Illumina Hiseq,6761002,16,0,0,74,245566,9,130663,62880,90,222043,10,307,0,74,74
GCA_003472145.1,Scaffold,QRKX00000000,SAMN09734808,AM14-26,Bacteroides ovatus,28116,100x,Illumina Hiseq,6743313,37,0,0,90,245566,10,118093,63585,127,245193,11,679,0,90,90
GCA_003470645.1,Scaffold,QRJR00000000,SAMN09734853,AM17-48,Bacteroides ovatus,28116,100x,Illumina Hiseq,6969907,25,0,0,98,201471,10,83569,48068,123,201471,10,282,0,98,98
GCA_003469655.1,Scaffold,QSKZ00000000,SAMN09736336,AM26-2AC,Bacteroides salyersiae,291644,100x,Illumina Hiseq,5555940,9,0,0,45,383365,5,277812,216630,54,300347,6,90,0,45,45
GCA_003439735.1,Scaffold,QSVH00000000,SAMN09736763,OM02-4,Bacteroides sp. 3_1_33FAA,457391,100x,Illumina Hiseq,5323757,12,0,0,27,444899,4,237904,130562,39,444899,4,120,0,27,27
GCA_003437935.1,Scaffold,QSSR00000000,SAMN09736872,TF05-10AC,Bacteroides sp. 3_1_33FAA,457391,100x,Illumina Hiseq,5615879,11,0,0,74,176435,8,114366,68968,85,176435,8,110,0,74,74
GCA_003439715.1,Scaffold,QSUY00000000,SAMN09736774,OM03-9,Bacteroides sp. 4_1_36,457393,100x,IonProton,5203649,1,0,0,195,71192,22,39595,18200,196,71192,22,100,0,195,195
GCA_003466325.1,Scaffold,QSOX00000000,SAMN09736999,TM07-1,Bacteroides sp. 4_1_36,457393,100x,Illumina Hiseq,4777078,22,0,0,66,193003,9,104568,63334,88,182216,9,220,0,66,66
GCA_003603375.1,Scaffold,QTMU00000000,SAMN09734178,AF04-22,Bacteroides sp. AF04-22,2292913,100x,Illumina Hiseq,4669063,31,0,0,87,150805,11,102456,56461,118,144339,11,407,0,87,87
GCA_003479635.1,Scaffold,QUHJ00000000,SAMN09734264,AF14-46,Bacteroides sp. AF14-46,2292914,100x,Illumina Hiseq,3570602,6,0,0,18,985155,2,170087,108815,24,978266,2,60,0,18,18
GCA_003603275.1,Scaffold,QTMS00000000,SAMN09734277,AF15-14LB,Bacteroides sp. AF15-14LB,2292915,100x,Illumina Hiseq,5103722,23,0,0,120,129825,11,66647,25997,143,120295,12,442,0,120,120
